id,title,description,created_at,expected_completion,status
1,Learn FastAPI,Keep pushing!,2025-04-09 20:00:49.528982,2025-04-12T10:00:00,False
2,Wake Up,You need to read your books!,2025-04-09 20:01:28.009811,2025-04-12T10:00:00,False
3,Its saturday baby,Gotta live life!,2025-04-12 15:03:53.464546,,False
4,Drink Water Bro,Hydrate or diedrate 😅,2025-04-13 08:30:00.000000,2025-04-13T09:00:00,False
5,Push That Code,FastAPI isn't gonna write itself!,2025-04-13 08:45:00.000000,2025-04-13T12:00:00,False
6,Stretch Yo Legs,"Get up, walk around. You ain't a potato 🥔",2025-04-13 09:00:00.000000,2025-04-13T09:15:00,False
7,Reflect for 5 Mins,What went well? What needs work?,2025-04-13 09:10:00.000000,2025-04-13T09:20:00,False
8,Chill Time,You've earned it. Breathe.,2025-04-13 09:30:00.000000,,False
9,Review PRs,Give feedback and merge the good stuff.,2025-04-12 11:00:00.000000,2025-04-12T13:00:00,True
10,Write Blog Post,Share that FastAPI wisdom with the world.,2025-04-12 14:30:00.000000,2025-04-13T18:00:00,False
11,Call Mom,She misses you.,2025-04-11 19:00:00.000000,2025-04-11T20:00:00,True
12,Clean Desk,"Clear space, clear mind.",2025-04-13 07:45:00.000000,2025-04-13T08:15:00,True
13,Plan the Week,Map it out. Don't wing it.,2025-04-13 09:00:00.000000,2025-04-13T10:00:00,False
14,Update Resume,"Even if you're not job hunting, stay ready.",2025-04-13 10:30:00.000000,2025-04-13T11:30:00,False
15,Meditate,Just 10 mins. You got this.,2025-04-13 11:00:00.000000,2025-04-13T11:10:00,True
16,Read 20 Pages,Knowledge ain't gonna jump in your brain.,2025-04-13 12:00:00.000000,2025-04-13T13:00:00,False
17,Prep Lunch,"Fuel up, chef style 🍽️",2025-04-13 12:30:00.000000,2025-04-13T13:30:00,True
18,Debug That Error,"Yeah, the one that’s been haunting you.",2025-04-13 13:00:00.000000,2025-04-13T15:00:00,False
19,Quick Workout,15 mins. No excuses. Move!,2025-04-13 15:15:00.000000,2025-04-13T15:30:00,True
20,Wind Down Routine,"Low lights, chill music, no screens.",2025-04-13 21:00:00.000000,2025-04-13T22:00:00,False
